,pred,target
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,18,0
10,0,0
11,0,0
12,0,0
13,41,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,23,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,32,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,2,2
64,2,2
65,2,2
66,2,2
67,2,2
68,2,2
69,2,2
70,2,2
71,2,2
72,2,2
73,2,2
74,2,2
75,2,2
76,2,2
77,2,2
78,2,2
79,2,2
80,2,2
81,2,2
82,2,2
83,2,2
84,2,2
85,2,2
86,2,2
87,2,2
88,5,3
89,3,3
90,3,3
91,3,3
92,3,3
93,3,3
94,3,3
95,4,4
96,4,4
97,4,4
98,32,4
99,4,4
100,4,4
101,4,4
102,4,4
103,4,4
104,4,4
105,4,4
106,4,4
107,4,4
108,4,4
109,4,4
110,4,4
111,27,4
112,27,4
113,4,4
114,4,4
115,4,4
116,4,4
117,4,4
118,4,4
119,4,4
120,4,4
121,4,4
122,27,4
123,4,4
124,4,4
125,4,4
126,4,4
127,4,4
128,4,4
129,4,4
130,4,4
131,4,4
132,4,4
133,4,4
134,4,4
135,4,4
136,5,5
137,5,5
138,5,5
139,5,5
140,5,5
141,5,5
142,5,5
143,5,5
144,5,5
145,5,5
146,5,5
147,5,5
148,5,5
149,5,5
150,5,5
151,5,5
152,5,5
153,5,5
154,5,5
155,5,5
156,5,5
157,5,5
158,5,5
159,5,5
160,5,5
161,5,5
162,6,6
163,6,6
164,6,6
165,6,6
166,6,6
167,6,6
168,6,6
169,6,6
170,6,6
171,6,6
172,6,6
173,6,6
174,6,6
175,6,6
176,6,6
177,6,6
178,6,6
179,6,6
180,6,6
181,6,6
182,6,6
183,6,6
184,6,6
185,6,6
186,6,6
187,6,6
188,6,6
189,6,6
190,6,6
191,6,6
192,6,6
193,6,6
194,6,6
195,6,6
196,6,6
197,7,7
198,7,7
199,7,7
200,7,7
201,7,7
202,7,7
203,7,7
204,7,7
205,7,7
206,7,7
207,7,7
208,7,7
209,7,7
210,7,7
211,7,7
212,7,7
213,7,7
214,7,7
215,7,7
216,7,7
217,7,7
218,7,7
219,7,7
220,7,7
221,7,7
222,7,7
223,7,7
224,7,7
225,7,7
226,7,7
227,7,7
228,7,7
229,8,8
230,8,8
231,8,8
232,8,8
233,8,8
234,8,8
235,8,8
236,8,8
237,8,8
238,8,8
239,8,8
240,8,8
241,8,8
242,8,8
243,8,8
244,8,8
245,8,8
246,8,8
247,8,8
248,8,8
249,8,8
250,8,8
251,8,8
252,8,8
253,8,8
254,8,8
255,8,8
256,8,8
257,8,8
258,8,8
259,8,8
260,8,8
261,9,9
262,9,9
263,9,9
264,9,9
265,9,9
266,9,9
267,9,9
268,11,9
269,8,9
270,9,9
271,9,9
272,9,9
273,9,9
274,9,9
275,9,9
276,11,9
277,9,9
278,9,9
279,9,9
280,9,9
281,9,9
282,9,9
283,9,9
284,9,9
285,9,9
286,9,9
287,9,9
288,8,9
289,9,9
290,9,9
291,11,9
292,9,9
293,9,9
294,9,9
295,9,9
296,9,9
297,9,9
298,9,9
299,9,9
300,10,10
301,10,10
302,10,10
303,10,10
304,10,10
305,10,10
306,10,10
307,10,10
308,10,10
309,10,10
310,10,10
311,10,10
312,10,10
313,10,10
314,10,10
315,10,10
316,10,10
317,10,10
318,10,10
319,10,10
320,10,10
321,10,10
322,10,10
323,10,10
324,10,10
325,10,10
326,10,10
327,10,10
328,10,10
329,10,10
330,10,10
331,10,10
332,10,10
333,10,10
334,11,11
335,11,11
336,11,11
337,11,11
338,11,11
339,11,11
340,11,11
341,11,11
342,11,11
343,11,11
344,11,11
345,11,11
346,11,11
347,11,11
348,11,11
349,11,11
350,11,11
351,11,11
352,11,11
353,11,11
354,11,11
355,11,11
356,11,11
357,11,11
358,11,11
359,11,11
360,11,11
361,11,11
362,11,11
363,11,11
364,11,11
365,11,11
366,11,11
367,11,11
368,11,11
369,11,11
370,11,11
371,11,11
372,11,11
373,11,11
374,11,11
375,11,11
376,11,11
377,11,11
378,11,11
379,11,11
380,11,11
381,11,11
382,11,11
383,11,11
384,11,11
385,11,11
386,11,11
387,11,11
388,11,11
389,11,11
390,11,11
391,11,11
392,11,11
393,11,11
394,11,11
395,11,11
396,11,11
397,11,11
398,12,12
399,12,12
400,12,12
401,12,12
402,12,12
403,12,12
404,12,12
405,12,12
406,12,12
407,12,12
408,12,12
409,12,12
410,12,12
411,12,12
412,12,12
413,12,12
414,12,12
415,12,12
416,12,12
417,12,12
418,12,12
419,12,12
420,12,12
421,12,12
422,12,12
423,12,12
424,12,12
425,12,12
426,12,12
427,13,13
428,13,13
429,13,13
430,13,13
431,13,13
432,13,13
433,13,13
434,13,13
435,13,13
436,13,13
437,13,13
438,13,13
439,13,13
440,13,13
441,13,13
442,13,13
443,13,13
444,13,13
445,13,13
446,13,13
447,13,13
448,13,13
449,13,13
450,13,13
451,13,13
452,13,13
453,13,13
454,13,13
455,13,13
456,13,13
457,13,13
458,13,13
459,13,13
460,13,13
461,13,13
462,13,13
463,13,13
464,14,14
465,14,14
466,14,14
467,14,14
468,14,14
469,14,14
470,14,14
471,14,14
472,14,14
473,14,14
474,14,14
475,14,14
476,14,14
477,14,14
478,14,14
479,14,14
480,14,14
481,14,14
482,14,14
483,14,14
484,14,14
485,14,14
486,14,14
487,14,14
488,21,14
489,14,14
490,14,14
491,14,14
492,14,14
493,14,14
494,17,14
495,14,14
496,15,15
497,15,15
498,15,15
499,15,15
500,15,15
501,15,15
502,15,15
503,15,15
504,15,15
505,15,15
506,15,15
507,15,15
508,15,15
509,15,15
510,15,15
511,15,15
512,15,15
513,15,15
514,15,15
515,15,15
516,15,15
517,15,15
518,15,15
519,15,15
520,15,15
521,15,15
522,15,15
523,15,15
524,15,15
525,22,15
526,15,15
527,15,15
528,15,15
529,15,15
530,15,15
531,15,15
532,15,15
533,15,15
534,16,16
535,16,16
536,16,16
537,16,16
538,16,16
539,16,16
540,16,16
541,16,16
542,16,16
543,16,16
544,16,16
545,16,16
546,16,16
547,16,16
548,16,16
549,16,16
550,16,16
551,16,16
552,16,16
553,16,16
554,16,16
555,16,16
556,16,16
557,32,16
558,16,16
559,16,16
560,16,16
561,16,16
562,16,16
563,16,16
564,16,16
565,16,16
566,16,16
567,16,16
568,16,16
569,17,17
570,17,17
571,17,17
